,Instructor,Meeting Times,Meeting Day,Start Time,End Time,Start Minutes,End Minutes,Interval Start Minutes,Time
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
0,"Kim, Jeffrey Y.",845-1045,Thursday,845,1045,525,645,645,1045
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
1,"Gunnerson, Kim N.",115-315,Thursday,115,315,795,915,915,1515
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
2,"Nash, Rob D",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
3,"Lin, Johnny W",1100-100,Wednesday,1100,100,660,780,780,1300
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
4,"Nash, Rob D",115-315,Wednesday,115,315,795,915,915,1515
5,"Ong, Hansel",845-1045,Wednesday,845,1045,525,645,645,1045
