,Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Instructor_raw_from_website,Instructor_pronouns
0,385,,BIO,2026,WIN,,,,A,,Lecture,,Other,,,,,,30.0,,False,,,
1,205,,BST,2026,WIN,,,,A,,Lecture,MW,8:45-10:45 am,,,,,,30.0,,False,,,
2,390,,BIO,2026,WIN,,,,A,,Lecture,MW,8:45-10:45 am,,,"Al-Noori, Salwa",,,30.0,,False,,"Al-Noori, Salwa",
3,180A,,BIO,2026,WIN,,,,A,,Lab,T,11:00 am-1:00 pm,,DISC 263,"Campbell, Dana",,,24.0,,False,,"Campbell, Dana",
4,180A,,BIO,2026,WIN,,,,B,,Lab,T,Other,,DISC 263,"Campbell, Dana",,,24.0,,False,,"Campbell, Dana",
5,180A,,BIO,2026,WIN,,,,C,,Lab,Th,11:00 am-1:00 pm,,DISC 263,"Campbell, Dana",,,24.0,,False,,"Campbell, Dana",
6,180A,,BIO,2026,WIN,,,,D,,Lab,Th,Other,,DISC 263,"Campbell, Dana",,,24.0,,False,,"Campbell, Dana",
7,155,,BEARTH,2026,WIN,,,,A,,Lecture,TThF,8:45-10:45 am,,,"Fields, Tracy",,,,,False,,"Fields, Tracy",
8,466,,BIO,2026,WIN,,,,A,,Lecture,MW,11:00 am-1:00 pm,,,"Galindo, Heather",,,48.0,,False,,"Galindo, Heather",
9,154,,BEARTH,2026,WIN,,,,A,,Lecture,MW,1:15-3:15 pm,,UW1 102,"Galindo, Heather",,,30.0,,False,,"Galindo, Heather",
10,301,,BST,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Galindo, Heather",,,24.0,,False,Fullfils Writing (W) credit,"Galindo, Heather",
11,352,,BIO,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,INV 134,"Jensen, Jeffrey",,,48.0,,True,,"Jensen, Jeffrey",
12,352A,,BIO,2026,WIN,,,,A,,Lab,M,Other,,DISC 267,"Jensen, Jeffrey",,,24.0,,False,,"Jensen, Jeffrey",
13,352A,,BIO,2026,WIN,,,,B,,Lab,W,Other,,DISC 267,"Jensen, Jeffrey",,,24.0,,False,,"Jensen, Jeffrey",
14,200,,BIO,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,,"Lewis, Alaron",,,72.0,,True,,"Lewis, Alaron",
15,495,,BIO,2026,WIN,,,,H,,Lab,TTh,11:00 am-1:00 pm,,,"Hillesland, Kristina",,,12.0,,True, STUDY THE EVOLUTION OF SYMBIOSIS  USING EXPERIMENTAL EVOLUTION. CONTACT hilleskl@uw.edu FOR ADD CODE                         ,"Hillesland, Kristina",
16,495,,BIO,2026,WIN,,,,D,,Lab,MW,8:45-10:45 am,,,"Ostrowski, Elizabeth ",,,12.0,,True,THIS COURSE WILL EXAMINE HOW  BACTERIA EVADE PREDATION BY AMOEBAE AND ITS RELEVANCE FOR HEALTH AND DISEASE. CONTACT EOSTROW@UW.EDU FOR ADD CODE                         ,"Ostrowski, Elizabeth ",
17,351,,BIO,2026,WIN,,,,A,,Lecture,TTh,8:45-10:45 am,,UW2 005,"Price, Michele",,,60.0,,True,,"Price, Michele",
18,351A,,BIO,2026,WIN,,,,A,,Lab,T,Other,,,"Price, Michele",,,20.0,,True,,"Price, Michele",
19,351A,,BIO,2026,WIN,,,,B,,Lab,Th,Other,,,"Price, Michele",,,20.0,,True,,"Price, Michele",
20,351A,,BIO,2026,WIN,,,,C,,Lab,F,Other,,,"Price, Michele",,,20.0,,True,,"Price, Michele",
21,495,,BIO,2026,WIN,,,,E,,Lab,TTh,11:00 am-1:00 pm,,INV 223,"Shi, Han-Wei",,,12.0,,True,"DEVELOP MOLECULAR BIOLOGY TOOLS TO INVESTIGATE SIGNALING AND PROTEIN  FUNCTION IN GIARDIA, A WATERBORNE PARASITE. OUR GOAL IS TO TAG GENES WITH LUMINESCENT PROTEINS AND DEVELOP GIARDIA KNOCKDOWNS USING CRISPR-CAS9. GAIN HANDS-ON EXPERIENCE IN MOLECULAR CLONING,LUMINESCENCE ASSAYS, AND CRISPR-CAS9 TECHNIQUES, AND PRESENT. A FINAL GROUP PRESENTATION. SUMMARIZING YOUR RESEARCH. CONTACT. INSTRUCTOR FOR ADD CODE.                     HXS273@UW.EDU","Shi, Han-Wei",
22,143,,CHEM,2026,WIN,,,,A,,Lecture,MWF,(FT) 10:15-11:35 am,,DISC 61,"Lovitt, Charity",,,144.0,,False,NO OVERLOADS.  CONCURRENT ENROLLMENT IN B CHEM 144 RECOMMENDED ,"Lovitt, Charity",
23,144,,CHEM,2026,WIN,,,,A,,Lab,M,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
24,144,,CHEM,2026,WIN,,,,B,,Lab,T,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
25,144,,CHEM,2026,WIN,,,,C,,Lab,T,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
26,144,,CHEM,2026,WIN,,,,D,,Lab,W,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
27,144,,CHEM,2026,WIN,,,,E,,Lab,Th,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
28,144,,CHEM,2026,WIN,,,,F,,Lab,Th,Other,,CC1-340,,,,24.0,,True,NO OVERLOADS.  ,,
29,153,,CHEM,2026,WIN,,,,A,,Lecture,MWF,(FT) 8:45-10:05 am,,DISC 61,"Finley, Brandon",,,120.0,,False,NO OVERLOADS.  CONCURRENT ENROLLMENT IN B CHEM 154 RECOMMENDED ,"Finley, Brandon",
30,154,,CHEM,2026,WIN,,,,A,,Lab,M,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
31,154,,CHEM,2026,WIN,,,,B,,Lab,T,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
32,154,,CHEM,2026,WIN,,,,C,,Lab,T,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
33,154,,CHEM,2026,WIN,,,,D,,Lab,W,Other,,DISC 463,,,,24.0,,True,NO OVERLOADS.  ,,
