Time,Monday,Tuesday,Wednesday,Thursday
08:45,4.0,3.0,4.0,3.0
09:00,4.0,3.0,4.0,3.0
09:15,4.0,3.0,4.0,3.0
09:30,4.0,3.0,4.0,3.0
09:45,4.0,3.0,4.0,3.0
10:00,4.0,3.0,4.0,3.0
10:15,4.0,3.0,4.0,3.0
10:30,4.0,3.0,4.0,3.0
11:00,1.0,1.0,1.0,1.0
11:15,1.0,1.0,1.0,1.0
11:30,1.0,1.0,1.0,1.0
11:45,1.0,1.0,1.0,1.0
12:00,1.0,1.0,1.0,1.0
12:15,1.0,1.0,1.0,1.0
12:30,1.0,1.0,1.0,1.0
12:45,1.0,1.0,1.0,1.0
13:15,3.0,2.0,4.0,2.0
13:30,3.0,2.0,4.0,2.0
13:45,3.0,2.0,4.0,2.0
14:00,3.0,2.0,4.0,2.0
14:15,3.0,2.0,4.0,2.0
14:30,3.0,2.0,4.0,2.0
14:45,3.0,2.0,4.0,2.0
15:00,3.0,2.0,4.0,2.0
15:30,2.0,0.0,2.0,0.0
15:45,2.0,0.0,2.0,0.0
16:00,2.0,0.0,2.0,0.0
16:15,2.0,0.0,2.0,0.0
16:30,2.0,0.0,2.0,0.0
16:45,2.0,0.0,2.0,0.0
17:00,2.0,0.0,2.0,0.0
17:15,2.0,0.0,2.0,0.0
