Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BBIO180,INTRO BIOLOGY I,BBIO,2016,WIN,-,-,10710,A,5,-,MWF,1145-105,DISC,061,"Chang, Cynthia",Open,64,96,-,$50,-
BBIO180,INTRO BIOLOGY I,BBIO,2016,WIN,-,-,10711,AA,-,LB,T,845-1045,DISC,263,"Campbell, Dana",Open,11,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2016,WIN,-,-,10712,AB,-,LB,W,215-415,DISC,263,"Campbell, Dana",Closed,24,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2016,WIN,-,-,10713,AC,-,LB,Th,845-1045,DISC,263,"Campbell, Dana",Open,20,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2016,WIN,-,-,21236,AD,-,LB,F,215-415,DISC,263,"Parr, Carolyn A.",Open,9,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10714,A,5,-,TTh,845-1045,DISC,061,"McNabb, Susan L",Open,101,144,-,$50,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10715,AA,-,LB,M,845-1045,DISC,263,"Ma, Eva",Open,20,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10716,AB,-,LB,M,1115-115,DISC,263,"Ma, Eva",Closed,24,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10717,AC,-,LB,M,145-345,DISC,263,"Thomas, Ruth E",Open,22,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10718,AD,-,LB,W,845-1045,DISC,263,"Ma, Eva",Open,14,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2016,WIN,-,-,10719,AE,-,LB,W,1115-115,DISC,263,"Ma, Eva",Open,21,24,-,-,-
BBIO240,FUND CELLULAR BIOL,BBIO,2016,WIN,Restr,-,-,A,5,-,TTh,330-530,UW2,340,"Lewis, Alaron",Open,30,31,-,-,%
BBIO240,FUND CELLULAR BIOL,BBIO,2016,WIN,Restr,-,-,AA,-,LB,F,845-1045,DISC,263,"Lewis, Alaron",Closed,16,16,-,-,%
BBIO240,FUND CELLULAR BIOL,BBIO,2016,WIN,Restr,-,-,AB,-,LB,F,1115-115,DISC,263,"Lewis, Alaron",Open,14,15,-,-,%
BBIO285,SEMINAR IN BIOLOGY,BBIO,2016,WIN,no_restriction,no_add_code,10724,A,3,-,W,115-315,UW1,010,"Price, Rebecca M",Open,2,12,-,-,%J
BBIO285,SEMINAR IN BIOLOGY,BBIO,2016,WIN,no_restriction,no_add_code,10725,B,3,-,Th,115-315,UWBB,205,"Price, Rebecca M",Open,4,12,-,-,%J
BBIO293,SPEC TOPICS BIOLOGY ,BBIO,2016,WIN,no_restriction,no_add_code,21264,A,5,-,TTh,845-1045,UW2,221,"Galindo, Heather Michelle",Open,21,22,-,-,%J
BBIO305,STEM CELLS SCI ETH,BBIO,2016,WIN,Restr,no_add_code,-,A,5,-,MW,845-1045,UWBB,240,"Flaherty, Maria Sol",Open,28,48,-,-,%
BBIO351,ANAT & PHYSIOL I,BBIO,2016,WIN,-,-,10727,A,5,-,MW,1100-100,DISC,252,"Crowther, Gregory J.",Open,40,48,-,$160,%
BBIO351,ANAT & PHYSIOL I,BBIO,2016,WIN,Restr,-,-,AA,-,LB,Th,845-1145,DISC,267,"Crowther, Gregory J.",Open,17,24,-,-,%
BBIO351,ANAT & PHYSIOL I,BBIO,2016,WIN,Restr,-,-,AB,-,LB,Th,115-415,DISC,267,"Crowther, Gregory J.",Open,23,24,-,-,%
BBIO352,ANAT & PHYSIOL II,BBIO,2016,WIN,no_restriction,no_add_code,10730,A,5,-,MW,845-1045,UW2,240,"Jensen, Jeffrey",Open,36,48,-,-,%
BBIO352,ANAT & PHYSIOL II,BBIO,2016,WIN,Restr,-,-,AA,-,LB,T,845-1145,DISC,267,"Al-Noori, Salwa",Open,19,24,-,-,%
BBIO352,ANAT & PHYSIOL II,BBIO,2016,WIN,Restr,-,-,AB,-,LB,T,115-415,DISC,267,"Al-Noori, Salwa",Open,17,24,-,-,%
BBIO360,INTRO GENETICS,BBIO,2016,WIN,no_restriction,no_add_code,21238,A,5,-,MW,1100-100,UW1,110,"Madzima, Thelma F",Open,32,40,-,-,%
BBIO364,BIOCHEMISTRY I,BBIO,2016,WIN,no_restriction,no_add_code,10733,A,5,-,MW,115-315,UW1,050,"Anderson, Peter C",Closed,24,24,-,-,%J
BBIO365,BIOCHEMISTRY II,BBIO,2016,WIN,no_restriction,no_add_code,10734,A,5,-,MW,1100-100,UW1,050,"Robins, Lori",Open,12,24,-,-,%J
BBIO366,BIOCHEMISTRY LAB,BBIO,2016,WIN,-,add_code_required,21314,A,3,-,M,330-430,DISC,469,"Robins, Lori",-,5,6,-,-,%J
