Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BBIO200,INTRO BIOLOGY II,BBIO,2019,SPR,-,-,10650,A,5,-,TTh,845-1045,DISC,162,"White, Bryan D",Open,61,96,-,$70,-
BBIO200,INTRO BIOLOGY II,BBIO,2019,SPR,-,-,10651,AA,-,LB,T,1100-100,DISC,263,"White, Bryan D",Closed,24,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2019,SPR,-,-,10652,AB,-,LB,T,130-330,DISC,263,"White, Bryan D",Open,14,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2019,SPR,-,add_code_required,10653,AC,-,LB,Th,1100-100,DISC,263,"White, Bryan D",-,23,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,10654,A,5,-,TTh,845-1045,DISC,061,"Al-Noori, Salwa",Open,113,120,-,$70,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,10655,AA,-,LB,M,1100-100,DISC,267,"Al-Noori, Salwa",Open,23,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,10656,AB,-,LB,M,130-330,DISC,267,"Al-Noori, Salwa",Closed,24,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,10657,AC,-,LB,W,1100-100,DISC,267,"Al-Noori, Salwa",Open,21,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,10658,AD,-,LB,W,130-330,DISC,267,"Al-Noori, Salwa",Closed,24,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2019,SPR,-,-,21763,AE,-,LB,M,845-1045,DISC,267,"Al-Noori, Salwa",Open,21,24,-,-,-
BBIO233,CANCER,BBIO,2019,SPR,no_restriction,no_add_code,10659,A,5,-,TTh,115-315,UW1,220,"McNabb, Susan L.",Closed,49,48,-,-,-
BBIO241,HUMAN ANAT PHYSIO I ,BBIO,2019,SPR,no_restriction,no_add_code,10660,A,6,-,TTh,330-530,UW2,031,"Price, Michele",Open,41,48,-,$50,-
BBIO241,HUMAN ANAT PHYSIO I ,BBIO,2019,SPR,-,-,10661,AA,-,LB,TF,845-1045,DISC,267,"Price, Michele",Open,19,22,-,-,-
BBIO241,HUMAN ANAT PHYSIO I ,BBIO,2019,SPR,-,-,10662,AB,-,LB,TF,1100-100,DISC,267,"Price, Michele",Closed,22,22,-,-,-
BBIO285,SEMINAR IN BIOLOGY,BBIO,2019,SPR,-,-,21037,A,3,-,Th,115-315,DISC,256,"Price, Rebecca M",Open,9,12,-,-,J
BBIO310,BRAIN AND BEHAVIOR,BBIO,2019,SPR,no_restriction,no_add_code,10663,A,5,-,MW,330-530,UW2,141,"Wacker, Douglas",Open,44,48,-,-,-
BBIO330,MARINE BIOLOGY,BBIO,2019,SPR,-,add_code_required,10664,A,5,-,F,1100-300,UWBB,205,"Galindo, Heather M",-,15,18,-,$95,-
BBIO352,ANAT & PHYSIOL II,BBIO,2019,SPR,no_restriction,no_add_code,10665,A,5,-,MW,845-1045,UW2,131,"Champagne, Cory",Open,46,48,-,$110,-
BBIO352,ANAT & PHYSIOL II,BBIO,2019,SPR,-,-,10666,AA,-,LB,T,200-500,DISC,267,"Champagne, Cory",Open,22,24,-,-,-
BBIO352,ANAT & PHYSIOL II,BBIO,2019,SPR,-,-,10667,AB,-,LB,Th,115-415,DISC,267,"Champagne, Cory",Closed,24,24,-,-,-
BBIO355,BEHAVIOR ENDOCRINOL ,BBIO,2019,SPR,-,add_code_required,10668,A,5,-,TTh,1100-100,UWBB,230,"Wacker, Douglas",-,26,28,-,-,-
BBIO360,INTRO GENETICS,BBIO,2019,SPR,no_restriction,no_add_code,10669,A,5,-,MW,1100-100,UW1,041,"Madzima, Thelma F",Open,26,40,-,-,-
