Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BBIO180,INTRO BIOLOGY I,BBIO,2020,WIN,-,-,10687,A,5,-,TTh,845-1045,DISC,162,"Jensen, Jeffrey",Open,89,96,-,$70,-
BBIO180,INTRO BIOLOGY I,BBIO,2020,WIN,-,-,10688,AA,-,LB,T,1100-100,DISC,263,"Jensen, Jeffrey",Open,23,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2020,WIN,-,-,10689,AB,-,LB,T,130-330,DISC,263,"Jensen, Jeffrey",Open,22,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2020,WIN,-,-,10690,AC,-,LB,Th,1100-100,DISC,263,"Campbell, Dana",Open,22,24,-,-,-
BBIO180,INTRO BIOLOGY I,BBIO,2020,WIN,-,-,10691,AD,-,LB,Th,145-345,DISC,263,"Campbell, Dana",Open,22,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2020,WIN,-,-,10692,A,5,-,TTh,845-1045,DISC,061,"Lewis, A",Open,70,144,-,$70,-
BBIO200,INTRO BIOLOGY II,BBIO,2020,WIN,-,-,10693,AA,-,LB,W,845-1045,DISC,263,"White, Bryan",Closed,24,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2020,WIN,-,-,10694,AB,-,LB,W,1115-115,DISC,263,"White, Bryan",Open,23,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2020,WIN,-,-,10695,AC,-,LB,W,145-345,DISC,263,"McNabb, Susan L.",Open,10,24,-,-,-
BBIO200,INTRO BIOLOGY II,BBIO,2020,WIN,-,-,10696,AD,-,LB,F,845-1045,DISC,263,"McNabb, Susan L.",Open,13,24,-,-,-
BBIO231,GENES & HEREDITY,BBIO,2020,WIN,no_restriction,no_add_code,10698,A,5,-,TTh,115-315,UW1,220,"McNabb, Susan L.",Open,35,24,-,-,J
BBIO285,SEMINAR IN BIOLOGY,BBIO,2020,WIN,no_restriction,no_add_code,10699,B,3,-,Th,115-315,UW1,060,"Price, R",Open,8,12,-,-,J
