Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BBIO220,INTRO BIOLOGY III,BBIO,2021,SUM,no_restriction,no_add_code,10210,A,5,-,TTh,830-1100,*,*,"Al-Noori, Salwa",Open,44,48,-,$70,-
BBIO220,INTRO BIOLOGY III,BBIO,2021,SUM,no_restriction,no_add_code,10211,AA,-,LB,T,1200-200,*,*,"Al-Noori, Salwa",Open,22,24,-,-,-
BBIO220,INTRO BIOLOGY III,BBIO,2021,SUM,no_restriction,no_add_code,10212,AB,-,LB,Th,100-300,*,*,"Al-Noori, Salwa",Open,22,24,-,-,-
BBIO293,SPEC TOPICS BIOLOGY ,BBIO,2021,SUM,no_restriction,no_add_code,10213,A,5,-,MTWTh,830-1100,*,*,"White, Bryan",Open,15,30,-,-,-
BBIO360,INTRO GENETICS,BBIO,2021,SUM,no_restriction,no_add_code,10214,A,5,-,MTWTh,1115-115,*,*,"Lewis, Alaron A",Closed,30,30,-,-,-
BBIO364,BIOCHEMISTRY I,BBIO,2021,SUM,no_restriction,no_add_code,10215,A,5,-,MTWTh,900-1130,*,*,"Anderson, Peter",Open,33,24,-,-,J
BBIO365,BIOCHEMISTRY II,BBIO,2021,SUM,no_restriction,no_add_code,10216,A,5,-,MTWTh,900-1130,*,*,"Anderson, Peter",Open,29,24,-,-,J
BBIO383,BIOINFORMATICS,BBIO,2021,SUM,no_restriction,no_add_code,10217,A,5,-,MTWTh,1115-145,*,*,"Zaneveld, Jesse",Open,13,12,-,$23,J
BBIO495,INVESTIGATIVE BIO,BBIO,2021,SUM,-,add_code_required,10219,A,5,-,TTh,1115-145,UWBB,270,"Sen, K",-,9,12,-,$130,-
BBIO495,INVESTIGATIVE BIO,BBIO,2021,SUM,-,add_code_required,10220,C,5,-,TTh,200-530,UWBB,270,"Hillesland, Kristina Linnea",-,12,12,-,$130,-
