Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BCHEM139,PREP FOR GEN CHEM,BCHEM,2023,AUT,-,-,10931,A,5,-,TTh,115-315,DISC,162,"Anderson, Peter",Open,76,90,-,-,-
BCHEM143,GEN CHEM I,BCHEM,2023,AUT,-,-,10932,A,4,-,MWF,1015-1135,DISC,061,"Finley, Brandon D",Open,148,192,-,-,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10933,A,2,-,M,1200-300,CC1,340,"Finley, Brandon D",Open,23,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10934,B,2,-,M,400-700,CC1,340,"Daruwala, Khushroo P.",Open,19,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10935,C,2,-,T,830-1130,CC1,340,"Sommerfeld, David",Open,22,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10936,D,2,-,T,115-415,CC1,340,"Thimmaiah, Murali",Open,23,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10937,E,2,-,W,1200-300,CC1,340,"Thimmaiah, Murali",Open,22,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10938,F,2,-,W,-,400-700P,-,-,-,-,-,-,-,"CC1 Note: couldn't interpret '340', in original. Note: couldn't interpret 'Sommerfeld,David', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '5', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '$50', in original."
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10939,G,2,-,Th,830-1130,CC1,340,"Sommerfeld, David",Open,21,24,-,$50,-
BCHEM144,GEN CHEM LAB I,BCHEM,2023,AUT,no_restriction,no_add_code,10940,H,2,-,Th,115-415,CC1,340,"Thimmaiah, Murali",Open,23,24,-,$50,-
BCHEM157,GEN CHEM STRATEGIES ,BCHEM,2023,AUT,no_restriction,no_add_code,23612,A,1,-,MTWThF,900-1100,UW2,340,"Mlodnosky, Karyn",Closed,12,12,-,-,-
BCHEM237,ORGANIC CHEMISTRY,BCHEM,2023,AUT,no_restriction,no_add_code,10941,A,4,-,MW,115-315,UW1,041,"Daruwala, Khushroo P.",Open,27,60,-,-,-
BCHEM237,ORGANIC CHEMISTRY,BCHEM,2023,AUT,no_restriction,no_add_code,10942,B,4,-,MW,330-530,UW1,041,"Thimmaiah, Murali",Open,54,60,-,-,-
BCHEM316,QUANT & EQUIL CHEM,BCHEM,2023,AUT,no_restriction,no_add_code,10943,A,4,-,MW,330-530,UW2,305,"Jaffe, Dan",Open,22,36,-,-,-
BCHEM317,QUANT ENVIRO LAB,BCHEM,2023,AUT,no_restriction,no_add_code,10944,A,3,-,W,845-1005,UW1,030,"Finley, Brandon D",Open,19,36,-,$100,-
BCHEM317,QUANT ENVIRO LAB,BCHEM,2023,AUT,-,-,10945,AA,-,LB,Th,845-1245,DISC,463,"Finley, Brandon D",Open,11,12,-,-,-
BCHEM317,QUANT ENVIRO LAB,BCHEM,2023,AUT,-,add_code_required,10946,AB,-,LB,Th,115-515,DISC,463,"Daruwala, Khushroo P.",-,0,12,-,-,-
