Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2017,WIN,no_restriction,no_add_code,22021,A,5,-,TTh,845-1045,UW1,220,"Kim, Jeffrey Y.",Open,13,15,-,$15,J
BIS121,INTRO TO DRAWING,BIS,2017,WIN,no_restriction,no_add_code,21603,A,5,-,MW,330-530,UWBB,272,"Carpenter, Gary L.",Open,23,24,-,$15,-
BIS121,INTRO TO DRAWING,BIS,2017,WIN,no_restriction,no_add_code,21605,B,5,-,TTh,845-1045,UWBB,272,"Carpenter, Gary L.",Closed,24,24,-,$15,-
BIS131,INTRO ART PRACT,BIS,2017,WIN,no_restriction,no_add_code,21606,A,5,-,TTh,1100-100,UWBB,205,"Salinas Tolosa, Alejandra",Closed,24,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2017,WIN,no_restriction,no_add_code,21607,A,5,-,MW,330-530,UW2,105,"Hsu, Howard",Closed,24,24,-,$25,-
BIS132,INTRO PHOTOGRAPHY,BIS,2017,WIN,no_restriction,no_add_code,21608,B,5,-,F,845-100,UW2,105,"Carpenter, Phillip D.",Closed,24,24,-,$25,-
BIS133,INTRO ACTING,BIS,2017,WIN,no_restriction,no_add_code,21610,A,2,-,TTh,330-445,UW2,021,"Doyle, Gavin",Closed,20,20,-,-,-
BIS134,INTRO DANCE,BIS,2017,WIN,no_restriction,no_add_code,21611,A,2,-,MW,915-1045,UW2,021,"Garcia-Snyder, Diana",Closed,21,20,-,-,-
BIS134,INTRO DANCE,BIS,2017,WIN,no_restriction,no_add_code,21612,B,2,-,TTh,-,545-715P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '021', in original. Note: couldn't interpret 'GARCIA-SNYDER,DIANA', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '18', in original. Note: couldn't interpret '20', in original."
BIS135,INTRO TO PAINTING,BIS,2017,WIN,no_restriction,no_add_code,21613,A,5,-,F,845-100,UWBB,272,"Noah, Barbara L.",Open,19,20,-,-,-
BIS154,INTRO OCEANOGRAPHY,BIS,2017,WIN,-,-,22071,A,5,-,TTh,115-315,DISC,369,"Galindo, Heather Michelle",Closed,15,15,-,-,J
BIS161,INTRO FILM NARRATIV ,BIS,2017,WIN,no_restriction,no_add_code,21614,A,5,-,F,845-100,UW1,020,"Tonacchio, Salvatore",Open,28,32,-,-,-
BIS170,INTRO TO PSYCH,BIS,2017,WIN,no_restriction,no_add_code,21615,A,5,-,TTh,845-1045,UW1,221,"McGuire, Mary V.",Closed,45,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2017,WIN,no_restriction,no_add_code,21616,B,5,-,F,115-315,LBA,003,"McGuire, Mary V.",Open,23,25,-,-,-
BIS175,AMERICAN GOVT,BIS,2017,WIN,no_restriction,no_add_code,21617,A,5,-,TTh,1100-100,UW1,102,"Streichler, Stuart Alan",Open,44,45,-,-,-
BIS181,INTRO TO SOCIOLOGY,BIS,2017,WIN,no_restriction,no_add_code,21618,A,5,-,MW,845-1045,UW2,141,"Redwood, Loren K.",Open,43,45,-,-,-
BIS193,INTRO TO PHILOSOPHY ,BIS,2017,WIN,no_restriction,no_add_code,21619,A,5,-,MW,845-1045,UW1,050,"Trumbull, Robert",Open,42,45,-,-,W
BIS200,INTRO MICROECON,BIS,2017,WIN,no_restriction,no_add_code,21850,A,5,-,MW,330-530,UW1,010,"Francetich, Alejandro",Open,17,22,-,-,J
BIS200,INTRO MICROECON,BIS,2017,WIN,no_restriction,no_add_code,21852,B,5,-,TTh,845-1045,UW1,010,"Henly, Samuel E",Open,15,22,-,-,J
BIS200,INTRO MICROECON,BIS,2017,WIN,no_restriction,no_add_code,21854,C,5,-,TTh,115-315,UWBB,230,"Francetich, Alejandro",Open,13,22,-,-,J
BIS201,INTRO MACROECON,BIS,2017,WIN,no_restriction,no_add_code,21858,A,5,-,MW,1100-100,UW1,210,"Nedita, Codrin C.",Open,11,22,-,-,J
BIS201,INTRO MACROECON,BIS,2017,WIN,no_restriction,no_add_code,21860,B,5,-,MW,115-315,UW1,202,"Nedita, Codrin C.",Open,2,22,-,-,J
BIS201,INTRO MACROECON,BIS,2017,WIN,no_restriction,no_add_code,21862,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '202', in original. Note: couldn't interpret 'NEDITA,CODRIN', in original. Note: couldn't interpret 'C.', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '2', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret 'J', in original."
BIS202,CRITICAL REASONING,BIS,2017,WIN,no_restriction,no_add_code,21620,A,5,-,TTh,115-315,UW1,021,"Nixon, David M.",Open,40,45,-,-,-
BIS206,ENGAGING LIT ARTS,BIS,2017,WIN,-,-,21621,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'MILUTIS,JOSEPH', in original. Note: couldn't interpret 'ADAM', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '17', in original. Note: couldn't interpret '45', in original."
BIS209,VISUAL & MEDIA,BIS,2017,WIN,no_restriction,no_add_code,21622,A,5,-,MW,845-1045,UW1,220,"Caplow, Deborah",Open,40,45,-,-,-
BIS218,THE POWER OF MAPS,BIS,2017,WIN,-,-,21623,A,5,-,TTh,115-315,DISC,258,"Gordon, Elyse S.",Open,23,24,-,-,-
BIS224,INTRO FEMINIST STDY ,BIS,2017,WIN,-,-,21624,A,5,-,TTh,115-315,DISC,162,"Robert_Hoyt, Nicole L.",Open,44,45,-,-,-
BIS225,SOCIAL PSYCHOLOGY,BIS,2017,WIN,no_restriction,no_add_code,21625,A,5,-,MW,115-315,UW1,020,"Silva, Janelle M",Closed,45,45,-,-,-
BIS232,DATA VISUALIZATION,BIS,2017,WIN,no_restriction,no_add_code,21842,A,5,-,W,115-315,UW1,121,"Cook, Katherine Ann",Closed,32,32,-,-,-
BIS236,INTERACTIVE MEDIA,BIS,2017,WIN,no_restriction,no_add_code,21626,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '220', in original. Note: couldn't interpret 'CHEN,MARK', in original. Note: couldn't interpret 'GUANG-MIN', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '43', in original. Note: couldn't interpret '45', in original."
BIS240,SUSTAINABLE PRACT,BIS,2017,WIN,no_restriction,no_add_code,21627,A,5,-,MW,115-315,UW2,240,"Rivera, Rebeca F",Open,44,45,-,-,-
BIS242,ENVIRONMENTAL GEOG,BIS,2017,WIN,no_restriction,no_add_code,21628,A,5,-,MW,1100-100,UWBB,240,"Romero, Adam M",Closed,45,45,-,-,-
BIS243,INTRO ENVIRON ISS,BIS,2017,WIN,no_restriction,no_add_code,21629,A,5,-,TTh,845-1045,UW2,240,"Valdez, Maria Ursula",Open,42,45,-,-,-
BIS255,CRITICAL DIVERSITY,BIS,2017,WIN,no_restriction,no_add_code,11742,A,5,-,MW,1100-100,UW1,051,"Tagle, Thea Q",Open,28,30,-,-,J
BIS256,INTRO AFR AMER STDY ,BIS,2017,WIN,no_restriction,no_add_code,21630,A,5,-,TTh,330-530,UW1,210,"Berger, Daniel",Open,35,45,-,-,-
BIS258,INTRO LATINA/O STUDY,BIS,2017,WIN,no_restriction,no_add_code,21631,A,5,-,MW,845-1045,UWBB,240,"Guzman, Gonzalo",Open,44,45,-,-,-
BIS265,INTRO ETHNIC STUDY,BIS,2017,WIN,no_restriction,no_add_code,21632,A,5,-,TTh,115-315,UW2,131,"Roberts, Georgia M.",Open,43,45,-,-,-
BIS266,US HISTORY TO 1865,BIS,2017,WIN,no_restriction,no_add_code,21633,A,5,-,TTh,845-1045,UW2,228,"Fuste, Jose I",Open,15,20,-,-,-
BIS267,US HISTORY FRM 1865 ,BIS,2017,WIN,no_restriction,no_add_code,21634,A,5,-,MW,1100-100,UW1,040,"Walsh, Camille L",Open,27,45,-,-,-
BIS268,WRLD HSTRY TO 1500,BIS,2017,WIN,no_restriction,no_add_code,21635,A,5,-,TTh,115-315,UWBB,107G,"Wood, Alan T",Open,20,24,-,-,%
BIS270,ABNORMAL PSYCHOLOGY ,BIS,2017,WIN,-,-,21636,A,5,-,TTh,845-1045,DISC,252,"Hartmann, William E",Closed,46,45,-,-,-
BIS282,GLOBALIZATION,BIS,2017,WIN,no_restriction,no_add_code,21637,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '141', in original. Note: couldn't interpret 'LAMBACHER,JASON', in original. Note: couldn't interpret 'F', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '39', in original. Note: couldn't interpret '45', in original."
BIS283,INTRODUCTION TO LAW ,BIS,2017,WIN,no_restriction,no_add_code,21638,A,5,-,MW,330-530,UW1,040,"D'Hondt, Karrin",Open,24,45,-,-,-
BIS285,SEMINAR IN BIOLOGY,BIS,2017,WIN,no_restriction,no_add_code,11751,A,3,-,W,115-315,UW2,141,"Price, Rebecca M",Open,6,12,-,-,J
BIS285,SEMINAR IN BIOLOGY,BIS,2017,WIN,no_restriction,no_add_code,11752,B,3,-,Th,115-315,UW2,141,"Price, Rebecca M",Closed,12,12,-,-,J
