Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2018,AUT,-,-,22694,A,5,-,MW,845-1045,DISC,258,"Kim, Jeffrey Y.",Open,6,15,-,-,J
BIS121,INTRO TO DRAWING,BIS,2018,AUT,no_restriction,no_add_code,11766,A,5,-,MW,330-530,UWBB,272,"Carpenter, Gary",Closed,25,24,-,$15,-
BIS121,INTRO TO DRAWING,BIS,2018,AUT,no_restriction,no_add_code,11767,B,5,-,TTh,845-1045,UWBB,272,"Carpenter, Gary",Open,22,24,-,$15,-
BIS131,INTRO ART PRACT,BIS,2018,AUT,no_restriction,no_add_code,11768,A,5,-,F,845-100,UW2,121,"Bodle, Carolyn J",Open,23,24,-,$11,-
BIS132,INTRO PHOTOGRAPHY,BIS,2018,AUT,no_restriction,no_add_code,11770,A,5,-,TTh,1100-100,UW2,105,"Hsu, Howard",Closed,25,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2018,AUT,no_restriction,no_add_code,11771,B,5,-,F,115-530,UW2,105,"Carpenter, Phillip D",Closed,24,24,-,-,-
BIS133,INTRO ACTING,BIS,2018,AUT,no_restriction,no_add_code,11772,A,2,-,MW,115-245,UW2,021,"Doyle, Gavin",Closed,25,24,-,-,-
BIS134,INTRO DANCE,BIS,2018,AUT,no_restriction,no_add_code,11773,A,2,-,MW,900-1030,UW2,021,"Garcia-Snyder, Diana",Closed,20,20,-,-,-
BIS134,INTRO DANCE,BIS,2018,AUT,no_restriction,no_add_code,11774,B,2,-,TTh,-,545-715P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '021', in original. Note: couldn't interpret 'Garcia-Snyder,Diana', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '18', in original. Note: couldn't interpret '20', in original."
BIS135,INTRO TO PAINTING,BIS,2018,AUT,no_restriction,no_add_code,11775,A,5,-,F,845-100,UWBB,272,"Noah, Barbara L.",Open,22,24,-,-,-
BIS141,NAT HIST & ENV SCI,BIS,2018,AUT,no_restriction,no_add_code,23024,A,5,-,MW,1100-100,UW1,021,"Valdez, Ursula",Open,30,40,-,-,-
BIS153,INTRO GEOLOGY,BIS,2018,AUT,-,-,11776,A,5,-,MW,845-1045,DISC,369,"Shinneman, Avery",Closed,19,12,-,-,J
BIS154,INTRO OCEANOGRAPHY,BIS,2018,AUT,-,-,11777,A,5,-,MW,330-530,DISC,252,"Galindo, Heather Michelle",Open,33,24,-,-,J
