Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS111,DIGITAL THINKING,BIS,2018,SPR,-,-,21043,A,5,-,TTh,845-1045,DISC,252,"Kim, Jeffrey Y.",Open,11,16,-,-,J
BIS121,INTRO TO DRAWING,BIS,2018,SPR,no_restriction,no_add_code,11529,A,5,-,MW,1100-100,UWBB,272,"Carpenter, Gary L.",Closed,25,24,-,$15,-
BIS121,INTRO TO DRAWING,BIS,2018,SPR,no_restriction,no_add_code,11530,B,5,-,F,845-100,UWBB,272,"Noah, Barbara L.",Open,23,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2018,SPR,no_restriction,no_add_code,11531,A,5,-,MW,115-315,UW2,105,"Hsu, Howard",Closed,24,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2018,SPR,no_restriction,no_add_code,11532,B,5,-,F,115-530,UW2,105,"Carpenter, Phillip D",Closed,27,24,-,-,-
BIS133,INTRO ACTING,BIS,2018,SPR,no_restriction,no_add_code,11533,A,2,-,MW,900-1030,UW2,021,"Doyle, Gavin",Open,20,24,-,-,-
BIS133,INTRO ACTING,BIS,2018,SPR,no_restriction,no_add_code,11534,B,2,-,TTh,900-1030,UW2,021,"Doyle, Gavin",Closed,24,24,-,-,-
BIS134,INTRO DANCE,BIS,2018,SPR,no_restriction,no_add_code,11535,A,2,-,TTh,115-245,UW2,021,"Garcia-Snyder, Diana",Closed,26,24,-,-,-
BIS134,INTRO DANCE,BIS,2018,SPR,no_restriction,no_add_code,11536,B,2,-,TTh,-,545-715P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '021', in original. Note: couldn't interpret 'Garcia-Snyder,Diana', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '22', in original. Note: couldn't interpret '24', in original."
BIS141,NAT HIST & ENV SCI,BIS,2018,SPR,-,-,11537,A,5,-,TTh,115-315,DISC,061,"Valdez, Maria Ursula",Open,34,45,-,-,-
BIS153,INTRO GEOLOGY,BIS,2018,SPR,-,-,11538,A,5,-,MW,115-315,DISC,369,"Shinneman, Avery",Closed,18,15,-,$20,J
BIS154,INTRO OCEANOGRAPHY,BIS,2018,SPR,no_restriction,no_add_code,11539,A,5,-,TTh,115-315,UW2,131,"Galindo, Heather Michelle",Open,23,15,-,-,J
BIS161,INTRO FILM NARRATIV ,BIS,2018,SPR,no_restriction,no_add_code,11540,A,5,-,F,845-100,UW1,202,"Tonacchio, Salvatore",Open,29,32,-,-,-
BIS170,INTRO TO PSYCH,BIS,2018,SPR,no_restriction,no_add_code,11541,A,5,-,TTh,845-1045,UW1,030,"McGuire, Mary V.",Open,37,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2018,SPR,no_restriction,no_add_code,11542,B,5,-,F,115-315,UW1,202,"McGuire, Mary V.",Closed,25,25,-,-,B
BIS175,AMERICAN GOVT,BIS,2018,SPR,no_restriction,no_add_code,11543,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '102', in original. Note: couldn't interpret 'STREICHLER,STUART', in original. Note: couldn't interpret 'ALAN', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '33', in original. Note: couldn't interpret '45', in original."
BIS178,INTRO TO COMM,BIS,2018,SPR,no_restriction,no_add_code,11544,A,5,-,MW,845-1045,UW2,005,"Tang, Min",Closed,45,45,-,-,-
BIS193,INTRO TO PHILOSOPHY ,BIS,2018,SPR,no_restriction,no_add_code,11545,A,5,-,TTh,1100-100,UWBB,240,"Trumbull, Robert",Open,42,45,-,-,-
BIS200,INTRO MICROECON,BIS,2018,SPR,no_restriction,no_add_code,21174,A,5,-,MW,115-315,UW1,202,"Twinam, Tate A",Open,21,22,-,-,J
BIS200,INTRO MICROECON,BIS,2018,SPR,no_restriction,no_add_code,21183,B,5,-,TTh,845-1045,UW1,010,"Stephany, Aurora",Open,19,22,-,-,J
BIS201,INTRO MACROECON,BIS,2018,SPR,no_restriction,no_add_code,21185,A,5,-,MW,845-1045,UW1,040,"Nedita, Codrin C.",Open,6,10,-,-,J
BIS201,INTRO MACROECON,BIS,2018,SPR,no_restriction,no_add_code,21187,B,5,-,MW,115-315,UW1,040,"Nedita, Codrin C.",Open,9,10,-,-,J
BIS216,INTRO CULTURE STUDY ,BIS,2018,SPR,no_restriction,no_add_code,11546,A,5,-,MW,115-315,UW2,340,"Murr, Jonathan E",Open,39,40,-,-,-
BIS220,DEVELOPMENTAL PSYCH ,BIS,2018,SPR,no_restriction,no_add_code,11547,A,5,-,MW,845-1045,UW1,050,"Udell, Wadiya A",Open,39,45,-,-,-
BIS221,GENDER & SEXUALITY,BIS,2018,SPR,no_restriction,no_add_code,11548,A,5,-,MW,1100-100,UW1,030,"Tagle, Thea Q",Closed,45,45,-,-,-
BIS224,INTRO FEMINIST STDY ,BIS,2018,SPR,no_restriction,no_add_code,11549,A,5,-,T,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Butler-Wall,Karisa', in original. Note: couldn't interpret 'Anne', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret 'B', in original."
BIS225,SOCIAL PSYCHOLOGY,BIS,2018,SPR,no_restriction,no_add_code,11550,A,5,-,MW,115-315,UW1,220,"Silva, Janelle M",Open,44,45,-,-,-
BIS232,DATA VISUALIZATION,BIS,2018,SPR,no_restriction,no_add_code,11551,A,5,-,TTh,330-530,UW1,120,"Anderson, Baaska",Closed,32,32,-,-,S
BIS233,PARTICIP MEDIA CLTR ,BIS,2018,SPR,no_restriction,no_add_code,11552,A,5,-,W,1100-100,UW2,121,"Berliner, Lauren S.",Closed,25,24,-,$50,B
BIS236,INTERACTIVE MEDIA,BIS,2018,SPR,no_restriction,no_add_code,11553,A,5,-,TTh,845-1045,UW1,110,"Chen, Mark Guang-Min",Open,44,45,-,-,-
BIS237,PUBLIC SPEAKING/COM ,BIS,2018,SPR,-,-,11554,A,5,-,MW,1100-100,UW2,005,"Vaughan, Denise A",Open,43,45,-,-,-
BIS240,SUSTAINABLE PRACT,BIS,2018,SPR,no_restriction,no_add_code,11555,A,5,-,TTh,845-1045,UW1,051,"Rivera, Rebeca F",Open,31,45,-,-,-
BIS241,NATURE IN NORTHWEST ,BIS,2018,SPR,no_restriction,no_add_code,11556,A,5,-,MW,330-530,UW1,221,"Gold, Warren G.",Open,42,45,-,-,-
BIS252,POLITICS OF SCI,BIS,2018,SPR,no_restriction,no_add_code,21644,A,5,-,TTh,330-530,UW2,031,"Cram, Shannon C",Closed,45,45,-,-,%
BIS255,CRITICAL DIVERSITY,BIS,2018,SPR,no_restriction,no_add_code,11558,A,5,-,TTh,330-530,UW1,220,"Tagle, Thea Q",Open,26,29,-,-,J
BIS267,US HISTORY FRM 1865 ,BIS,2018,SPR,no_restriction,no_add_code,11559,A,5,-,TTh,330-530,UW1,202,"Kim, Kevin",Open,18,45,-,-,-
BIS269,WRLD HSTRY AF 1500,BIS,2018,SPR,no_restriction,no_add_code,11560,A,5,-,TTh,115-315,UW1,202,"Wood, Alan T",Open,30,45,-,-,-
BIS270,ABNORMAL PSYCHOLOGY ,BIS,2018,SPR,no_restriction,no_add_code,11561,A,5,-,TTh,1100-100,UW1,041,"Hartmann, William E",Open,44,45,-,-,-
BIS282,GLOBALIZATION,BIS,2018,SPR,no_restriction,no_add_code,11562,A,5,-,MW,845-1045,SSG,CNSVTRY,"McKeithen, William L.",Open,29,30,-,-,-
BIS283,INTRODUCTION TO LAW ,BIS,2018,SPR,no_restriction,no_add_code,11563,A,5,-,MW,330-530,UW2,240,"Griffin, Maryam S",Open,19,45,-,-,-
BIS284,INTL RELATIONS,BIS,2018,SPR,no_restriction,no_add_code,11564,A,5,-,MW,115-315,UW1,020,"Lambacher, Jason F",Open,41,45,-,-,-
BIS293,SPECIAL TOPICS,BIS,2018,SPR,no_restriction,no_add_code,11565,A,5,-,TTh,115-315,UW1,010,"Butler-Wall, Karisa Anne",Open,26,45,-,-,-
BIS300,INTERDISC INQUIRY,BIS,2018,SPR,Restr,no_add_code,-,B,5,-,MW,1100-100,UW1,060,"Shayne, Julie",Open,27,29,-,-,W
BIS300,INTERDISC INQUIRY,BIS,2018,SPR,Restr,no_add_code,-,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '240', in original. Note: couldn't interpret 'Vinyard,Deirdre', in original. Note: couldn't interpret 'W', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '29', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret 'W', in original."
BIS300,INTERDISC INQUIRY,BIS,2018,SPR,Restr,no_add_code,-,D,5,-,TTh,330-530,UW1,210,"Trumbull, Raissa Desmet",Closed,30,30,-,-,W
BIS300,INTERDISC INQUIRY,BIS,2018,SPR,Restr,-,-,E,5,-,TTh,1100-100,DISC,165B,"Goldstein, David S.",Closed,30,30,-,-,W
BIS310,"WOMEN, CULTURE, DEV ",BIS,2018,SPR,no_restriction,no_add_code,11572,A,5,-,MW,330-530,UW1,110,"Shayne, Julie",Open,43,45,-,-,-
BIS312,APPRS SOCIAL RESRCH ,BIS,2018,SPR,no_restriction,no_add_code,11574,B,5,-,TTh,330-530,UW1,121,"Hartmann, William E",Open,31,32,-,-,-
BIS312,APPRS SOCIAL RESRCH ,BIS,2018,SPR,no_restriction,no_add_code,11575,C,5,-,F,1100-100,UW1,121,"Dana, Karam",Closed,32,32,-,-,B
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11576,A,5,-,-,"to_be_arranged_ROBERTS,GEORGIA",M.,-,-,Closed,33,30,-,-,D
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11577,B,5,-,TTh,1100-100,UW2,141,"Krabill, Ronald Stanley",Closed,45,45,-,-,-
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11578,C,5,-,MW,330-530,UW2,005,"Tang, Min",Closed,46,45,-,-,-
BIS313,ISSUES MEDIA STDY,BIS,2018,SPR,no_restriction,no_add_code,11579,D,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '102', in original. Note: couldn't interpret 'Gregory,Wanda', in original. Note: couldn't interpret 'V', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '44', in original. Note: couldn't interpret '45', in original."
BIS315,UNDERSTANDING STATS ,BIS,2018,SPR,no_restriction,no_add_code,11580,A,5,-,TTh,115-315,UW2,105,"Anderson, Baaska",Closed,32,32,-,-,-
BIS320,COMP POL ECONOMIES,BIS,2018,SPR,no_restriction,no_add_code,11582,A,5,-,MW,1100-100,UW2,131,"Jacoby, Daniel F",Open,44,45,-,-,-
BIS328,DVSTY LDRSHP ENGMNT ,BIS,2018,SPR,no_restriction,no_add_code,11583,A,5,-,TTh,1100-100,HSKY,1310,"Kurashige, Scott T.",Open,10,12,-,-,SJ
BIS336,US MASS INCARCRTIN,BIS,2018,SPR,no_restriction,no_add_code,21575,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '131', in original. Note: couldn't interpret 'Berger,Daniel', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '38', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '%', in original."
BIS339,GLOBAL CLTR STDY,BIS,2018,SPR,no_restriction,no_add_code,11584,A,5,-,W,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'KURIAN,ALKA', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret 'B', in original."
BIS340,APPRS CULTURAL RES,BIS,2018,SPR,no_restriction,no_add_code,11585,A,5,-,TTh,845-1045,UW1,202,"Anderson, Christian",Closed,32,32,-,-,-
