Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
BIS121,INTRO TO DRAWING,BIS,2021,SUM,no_restriction,no_add_code,14288,A,5,-,-,to_be_arranged,-,-,"Carpenter, Gary",Closed,24,24,-,-,-
BIS121,INTRO TO DRAWING,BIS,2021,SUM,no_restriction,no_add_code,14289,B,5,-,-,to_be_arranged,-,-,"Carpenter, Gary",Closed,24,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2021,SUM,no_restriction,no_add_code,10545,A,5,-,MW,200-430,*,*,"Hsu, Howard",Open,23,24,-,-,-
BIS132,INTRO PHOTOGRAPHY,BIS,2021,SUM,no_restriction,no_add_code,10546,B,5,-,MW,-,600-830P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Hsu,Howard', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '24', in original."
BIS133,INTRO ACTING,BIS,2021,SUM,no_restriction,no_add_code,10547,A,2,-,W,200-430,*,*,"Doyle, Gavin T",Open,19,24,-,-,-
BIS141,NAT HIST & ENV SCI,BIS,2021,SUM,no_restriction,no_add_code,14290,A,5,-,MTWTh,1115-145,-,-,"Valdez, Ursula",Open,5,45,-,-,-
BIS170,INTRO TO PSYCH,BIS,2021,SUM,no_restriction,no_add_code,10548,A,5,-,MW,830-1100,*,*,"McGuire, Mary V.",Open,18,45,-,-,-
BIS200,INTRO MICROECON,BIS,2021,SUM,no_restriction,no_add_code,10549,A,5,-,TTh,1145-215,*,*,"Charusheela, S",Open,11,22,-,-,J
BIS204,INTRO TO JOURNALISM ,BIS,2021,SUM,no_restriction,no_add_code,10550,A,5,-,W,830-1100,*,*,"Harrill, Rob",Open,22,24,-,-,W
BIS215,UNDERSTANDING STATS ,BIS,2021,SUM,no_restriction,no_add_code,10551,A,5,-,-,to_be_arranged,*,*,"Carlisle, Shauna",Open,24,32,-,-,-
BIS215,UNDERSTANDING STATS ,BIS,2021,SUM,no_restriction,no_add_code,10552,B,5,-,-,to_be_arranged,*,*,"Carlisle, Shauna",Open,16,32,-,-,-
BIS232,DATA VISUALIZATION,BIS,2021,SUM,no_restriction,no_add_code,10553,A,5,-,MW,830-1100,*,*,"Trujillo, Caleb",Open,29,32,-,-,-
BIS255,CRITICAL DIVERSITY,BIS,2021,SUM,no_restriction,no_add_code,10554,A,5,-,T,200-430,*,*,"Murr, Jed",Open,29,30,-,-,J
BIS261,INTRO FILM STUDIES,BIS,2021,SUM,no_restriction,no_add_code,10555,A,5,-,-,to_be_arranged,*,*,"Goldstein, David S.",Closed,31,30,-,-,D
BIS261,INTRO FILM STUDIES,BIS,2021,SUM,no_restriction,no_add_code,14291,B,5,-,-,"to_be_arranged_Goldstein,David",S.,-,-,Closed,30,30,-,-,D
BIS270,ABNORMAL PSYCHOLOGY ,BIS,2021,SUM,no_restriction,no_add_code,10556,A,5,-,-,to_be_arranged,*,*,"Hartmann, William",Open,40,45,-,-,-
BIS300,INTERDISC INQUIRY,BIS,2021,SUM,Restr,no_add_code,-,A,5,-,M,200-400,*,*,"Velazquez, Ashley",Open,13,30,-,-,-
