Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS101,DIGITAL THINKING,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,MW,845-1045,UW1,221,"Kim, Jeffrey",Open,15,23,-,-,J
CSS107,PROG-ANIMATED STORY ,CSS,2019,AUT,no_restriction,no_add_code,13341,A,5,-,F,115-315,UW2,340,"Gunnerson, Kim",Closed,42,40,-,$10,B
CSS107,PROG-ANIMATED STORY ,CSS,2019,AUT,no_restriction,no_add_code,23195,B,5,-,F,330-530,UW1,120,"Gunnerson, Kim",Closed,38,36,-,$10,B
CSS132,COMPT PROG ENGR I,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '220', in original. Note: couldn't interpret 'Pisan,Yusuf', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '35', in original. Note: couldn't interpret '45', in original."
CSS142,CMPT PROG I,CSS,2019,AUT,no_restriction,no_add_code,13343,A,5,-,MW,330-530,UW2,305,"Kalmin, Lesley",Open,38,40,-,-,-
CSS142,CMPT PROG I,CSS,2019,AUT,no_restriction,no_add_code,13344,B,5,-,MW,115-315,UW1,221,"Mashhadi, Afra",Open,36,45,-,-,-
CSS142,CMPT PROG I,CSS,2019,AUT,-,add_code_required,13345,C,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '020', in original. Note: couldn't interpret 'Ong,Hansel', in original. Note: couldn't interpret '27', in original. Note: couldn't interpret '45', in original."
CSS142,CMPT PROG I,CSS,2019,AUT,no_restriction,no_add_code,13346,D,5,-,MW,845-1045,UWBB,205,"Gunnerson, Kim",Open,38,40,-,-,-
CSS143,CMPT PROG II,CSS,2019,AUT,no_restriction,no_add_code,13347,A,5,-,TTh,115-315,UW2,240,"Nash, Rob D",Open,41,45,-,-,-
CSS143,CMPT PROG II,CSS,2019,AUT,no_restriction,no_add_code,13348,B,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '051', in original. Note: couldn't interpret 'Lin,Johnny', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '42', in original. Note: couldn't interpret '45', in original."
CSS173,PROGRAM THEORY/APP,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,MW,-,800-1000P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '110', in original. Note: couldn't interpret 'Lin,Johnny', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '28', in original. Note: couldn't interpret '45', in original."
CSS198,SUPERVISED STUDY,CSS,2019,AUT,IS,add_code_required,13350,A,1-5,-,-,to_be_arranged,-,0,-,-,30,-,-,-,-
CSS198,SUPERVISED STUDY,CSS,2019,AUT,IS,add_code_required,13351,B,1-5,-,-,to_be_arranged,-,3,-,-,30,-,CR_NC,-,-
CSS198,SUPERVISED STUDY,CSS,2019,AUT,IS,add_code_required,13352,C,2,-,-,to_be_arranged,-,0,-,-,30,-,CR_NC,-,-
CSS198,SUPERVISED STUDY,CSS,2019,AUT,-,add_code_required,22986,D,2,-,-,-,-,-,-,-,-,-,-,-,"Sat. Note: couldn't interpret '1100-200', in original. Note: couldn't interpret 'UW2', in original. Note: couldn't interpret '141', in original. Note: couldn't interpret 'Ong,Hansel', in original. Note: couldn't interpret '35', in original. Note: couldn't interpret '45', in original."
CSS199,COMPUTING RESEARCH,CSS,2019,AUT,IS,add_code_required,13353,A,1-5,-,-,to_be_arranged,-,1,-,-,30,-,-,-,-
CSS199,COMPUTING RESEARCH,CSS,2019,AUT,IS,add_code_required,13354,B,1-5,-,-,to_be_arranged,-,1,-,-,30,-,CR_NC,-,-
CSS295,K12 COMPUTING EDU,CSS,2019,AUT,no_restriction,no_add_code,13357,A,2,-,Th,330-530,UW2,228,"Retik, Arkady",Open,14,15,CR_NC,$10,-
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,TTh,115-315,UW2,040,"Chini, Morteza",Open,28,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,B,5,-,TTh,330-530,UW1,031,"Oliver, Dawn-Marie",Open,26,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,C,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '205', in original. Note: couldn't interpret 'Deschene,Marie', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '24', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'W', in original."
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,D,5,-,MW,330-530,UW1,031,"Kool, Nancy L.",Open,24,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,E,5,-,MW,845-1045,UW2,211,"Chini, Morteza",Closed,30,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,F,5,-,MW,115-315,UW2,221,"Kool, Nancy L.",Open,29,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2019,AUT,Restr,no_add_code,-,G,5,-,MW,330-530,UW2,211,"Anderson, Laurie",Open,20,30,-,$10,W
CSS310,IA & CYBER SECURITY ,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,MW,115-315,UW2,031,"Dupuis, Marc J.",Closed,47,45,-,$10,-
CSS340,APPL ALGORITHMICS,CSS,2019,AUT,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW2 Note: couldn't interpret '307', in original. Note: couldn't interpret 'Dimpsey,Robert', in original. Note: couldn't interpret 'Closed', in original. Note: couldn't interpret '16', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret '$23', in original."
