Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS142,CMPT PROG I,CSS,2021,SUM,no_restriction,no_add_code,11025,A,5,-,MW,1115-145,*,*,"Kim, Jeffrey",Open,19,45,-,-,-
CSS143,CMPT PROG II,CSS,2021,SUM,no_restriction,no_add_code,11026,A,5,-,TTh,1115-145,*,*,"Nixon, D",Open,39,45,-,-,-
CSS198,SUPERVISED STUDY,CSS,2021,SUM,IS,add_code_required,11027,A,1-5,-,-,to_be_arranged,-,0,-,-,20,-,-,-,-
CSS198,SUPERVISED STUDY,CSS,2021,SUM,IS,add_code_required,11028,B,1-5,-,-,to_be_arranged,-,1,-,-,-,-,-,-,"20E Note: couldn't interpret 'CR_NC', in original."
CSS199,COMPUTING RESEARCH,CSS,2021,SUM,IS,add_code_required,11029,A,1-5,-,-,to_be_arranged,-,0,-,-,20,-,-,-,-
CSS199,COMPUTING RESEARCH,CSS,2021,SUM,IS,add_code_required,11030,B,1-5,-,-,to_be_arranged,-,1,-,-,20,-,CR_NC,-,-
CSS301,TECHNICAL WRITING,CSS,2021,SUM,-,add_code_required,11032,A,5,-,MW,830-1100,*,*,"Kool, Nancy L.",-,24,30,-,$10,W
CSS310,IA & CYBERSECURITY,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,MW,1115-145,*,*,"Dupuis, Marc J.",Open,44,48,-,$18,-
CSS343,"DATA, ALG, MATH II",CSS,2021,SUM,Restr,no_add_code,-,A,5,-,TTh,200-430,*,*,"Awad, Ahmed",Open,29,30,-,$23,-
CSS360,SOFTWARE ENGR,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,MW,200-430,*,*,"Retik, Arkady",Open,29,30,-,$10,-
CSS382,INTRO TO AI,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,TTh,1115-145,*,*,"Stanev, Roger",Open,30,45,-,-,%
CSS383,BIOINFORMATICS,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,MTWTh,1115-145,*,*,"Zaneveld, Jesse",Open,3,12,-,$23,J
CSS397,COMPUTING INTERNSHIP,CSS,2021,SUM,IS,-,14567,A,1-5,-,-,to_be_arranged,*,*,-,-,-,-,-,-," Note: couldn't interpret '*', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '9', in original. Note: couldn't interpret '10E', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '%R', in original."
CSS421,CMPT HW & O/S,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,TTh,1115-145,*,*,"Anderson, Laurie",Open,18,40,-,$23,-
CSS422,HARDWARE & COMP ORG ,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,MW,200-430,*,*,"Awad, Ahmed",Open,34,45,-,$23,-
CSS430,OPERATING SYSTEMS,CSS,2021,SUM,-,add_code_required,11040,A,5,-,TTh,-,700-930P,*,-,-,-,-,-,-,"* Note: couldn't interpret 'Weber,Rick', in original. Note: couldn't interpret '46', in original. Note: couldn't interpret '45', in original. Note: couldn't interpret '$23', in original."
CSS475,DATABASE SYSTEMS,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,TTh,200-430,*,*,"Kochanski, M",Open,26,60,-,$23,-
CSS480,HUMAN-COMP INTERACT ,CSS,2021,SUM,Restr,no_add_code,-,A,5,-,MW,1115-145,*,*,"Erdly, B",Open,43,45,-,$10,-
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11043,A,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '7', in original. Note: couldn't interpret '20E', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'R', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11044,B,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '6', in original. Note: couldn't interpret '20', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'R', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11045,C,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '0', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret '$10', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11046,D,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '4', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '$10', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11047,E,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '9', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret '$10', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11048,F,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '16', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '$10', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11049,G,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '2', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret '$10', in original."
CSS497,CS & SE CAPSTONE,CSS,2021,SUM,IS,add_code_required,11050,H,-,-,-,1-10,-,-,-,-,-,-,-,-,"to_be_arranged Note: couldn't interpret '10', in original. Note: couldn't interpret '5E', in original. Note: couldn't interpret 'CR_NC', in original. Note: couldn't interpret '$10', in original."
