Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other
CSS101,DIGITAL THINKING,CSS,2024,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW1,060,"Kim, Jeffrey",Open,11,24,-,-,J
CSS107,PROG-ANIMATED STORY ,CSS,2024,SPR,no_restriction,no_add_code,13098,A,5,-,TTh,330-530,UW2,141,"Oliver, Dawn-Marie",Open,27,48,-,$10,-
CSS107,PROG-ANIMATED STORY ,CSS,2024,SPR,no_restriction,no_add_code,13099,B,5,-,MW,330-530,UW2,240,"Oliver, Dawn-Marie",Open,37,48,-,$10,-
CSS112,INTRO PROG SCI APP,CSS,2024,SPR,Restr,no_add_code,-,A,4,-,TTh,845-1045,UW2,131,"Gunnerson, Kim",Open,35,48,-,-,-
CSS123,PROG DATA SCI,CSS,2024,SPR,no_restriction,no_add_code,21293,A,3,-,TTh,1100-100,UW1,202,"Lin, Johnny",Open,8,48,-,-,-
CSS142,CMPT PROG I,CSS,2024,SPR,Restr,no_add_code,-,A,5,-,MW,1100-100,UW2,240,"Stanev, Roger",Open,46,48,-,-,-
CSS142,CMPT PROG I,CSS,2024,SPR,Restr,no_add_code,-,B,5,-,MW,330-530,UW1,221,"Uong, Ethan",Open,39,48,-,-,-
CSS142,CMPT PROG I,CSS,2024,SPR,Restr,no_add_code,-,C,5,-,TTh,330-530,UW1,202,"Chini, Morteza",Open,35,48,-,-,-
CSS143,CMPT PROG II,CSS,2024,SPR,Restr,no_add_code,-,A,5,-,TTh,330-530,UW1,051,"Nixon, David",Open,45,48,-,-,-
CSS143,CMPT PROG II,CSS,2024,SPR,Restr,no_add_code,-,B,5,-,MW,1100-100,UW1,110,"Du, Peng",Open,47,48,-,-,-
CSS143,CMPT PROG II,CSS,2024,SPR,Restr,no_add_code,-,C,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '051', in original. Note: couldn't interpret 'NIXON,DAVID', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '25', in original. Note: couldn't interpret '48', in original."
CSS198,SUPERVISED STUDY,CSS,2024,SPR,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '21588', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original."
CSS198,SUPERVISED STUDY,CSS,2024,SPR,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '21589', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original."
CSS199,COMPUTING RESEARCH,CSS,2024,SPR,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '21590', in original. Note: couldn't interpret 'A', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original."
CSS199,COMPUTING RESEARCH,CSS,2024,SPR,-,-,-,IS,-,-,-,-,-,-,-,-,-,-,-,-,"add_code_required Note: couldn't interpret '21591', in original. Note: couldn't interpret 'B', in original. Note: couldn't interpret '1-5', in original. Note: couldn't interpret 'to_be_arranged', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '*', in original. Note: couldn't interpret '0', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret 'CR_NC', in original."
CSS211,COMPUTERS & SOCIETY ,CSS,2024,SPR,no_restriction,no_add_code,13107,A,5,-,MW,1100-100,UW1,221,"Shaw, Carol A",Open,44,48,-,$10,-
CSS225,PHYS/CHEM OF COMP,CSS,2024,SPR,no_restriction,no_add_code,13108,A,5,-,F,1100-100,UW1,202,"Gunnerson, Kim",Open,44,48,-,-,B
CSS290,TOPICS IN COMPUTING ,CSS,2024,SPR,no_restriction,no_add_code,13109,A,2,-,T,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '210', in original. Note: couldn't interpret 'Anderson,Laurie', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '18', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$11', in original."
CSS290,TOPICS IN COMPUTING ,CSS,2024,SPR,no_restriction,no_add_code,21294,B,2,-,F,845-1045,UW2,040,"Gruenbaum, Peter E",Open,26,30,CR_NC,-,-
CSS295,K12 COMPUTING EDU,CSS,2024,SPR,-,add_code_required,13110,A,2,-,Th,330-530,UW2,228,"Kool, Nancy L.",-,6,12,CR_NC,$10,-
CSS301,TECHNICAL WRITING,CSS,2024,SPR,-,add_code_required,13111,A,5,-,TTh,330-530,UW1,060,"Anderson, Laurie",-,28,30,-,$10,W
CSS301,TECHNICAL WRITING,CSS,2024,SPR,-,add_code_required,13112,B,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"DISC Note: couldn't interpret '252', in original. Note: couldn't interpret 'Kool,Nancy', in original. Note: couldn't interpret 'L.', in original. Note: couldn't interpret '16', in original. Note: couldn't interpret '30', in original. Note: couldn't interpret '$10', in original. Note: couldn't interpret 'W', in original."
CSS301,TECHNICAL WRITING,CSS,2024,SPR,-,add_code_required,13113,C,5,-,MW,330-530,UW2,205,"Kool, Nancy L.",-,30,30,-,$10,W
CSS310,IA & CYBERSECURITY,CSS,2024,SPR,no_restriction,no_add_code,13114,A,5,-,MW,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '221', in original. Note: couldn't interpret 'Awad,Ahmed', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '41', in original. Note: couldn't interpret '48', in original. Note: couldn't interpret '$10', in original."
CSS310,IA & CYBERSECURITY,CSS,2024,SPR,no_restriction,no_add_code,13115,B,5,-,F,1100-100,UW1,050,"Joshi, Sanjay",Closed,48,48,-,$10,B
CSS337,SECURE SYSTEMS,CSS,2024,SPR,no_restriction,no_add_code,13116,A,5,-,MW,1100-100,UW1,102,"Thamilarasu, Geetha",Open,25,48,-,$23,-
CSS342,"DATA, ALG, MATH I",CSS,2024,SPR,no_restriction,no_add_code,13118,A,5,-,MW,115-315,UW2,305,"Dimpsey, Robert",Open,33,40,-,$23,-
CSS342,"DATA, ALG, MATH I",CSS,2024,SPR,no_restriction,no_add_code,13119,B,5,-,TTh,1100-100,UWBB,205,"Ewing, Katie",Open,19,40,-,$23,-
CSS342,"DATA, ALG, MATH I",CSS,2024,SPR,no_restriction,no_add_code,13120,C,5,-,TTh,115-315,DISC,252,"Arian, Eyal",Open,9,40,-,$23,-
CSS343,"DATA, ALG, MATH II",CSS,2024,SPR,Restr,no_add_code,-,A,5,-,TTh,-,545-745P,-,-,-,-,-,-,-,"UW1 Note: couldn't interpret '110', in original. Note: couldn't interpret 'Zander,Carol', in original. Note: couldn't interpret 'Open', in original. Note: couldn't interpret '15', in original. Note: couldn't interpret '40', in original. Note: couldn't interpret '$23', in original."
CSS343,"DATA, ALG, MATH II",CSS,2024,SPR,Restr,no_add_code,-,B,5,-,MW,1100-100,INV,134,"Mashhadi, Afra",Open,19,40,-,$23,-
